Iteration,Loss,Accuracy
0,1.5899683237075806,0.46875
1,1.560603380203247,0.453125
2,1.340340296427409,0.5104166666666666
3,1.2757923603057861,0.515625
4,1.3334206581115722,0.49375
5,1.351192792256673,0.4739583333333333
6,1.3608557837350028,0.47767857142857145
7,1.3769354820251465,0.4609375
8,1.347065183851454,0.4756944444444444
9,1.340061569213867,0.475
10,1.3034075823697178,0.48579545454545453
11,1.3028157552083333,0.484375
12,1.3163870297945464,0.47836538461538464
13,1.3126089913504464,0.484375
14,1.3015752156575522,0.4875
15,1.2982981204986572,0.490234375
16,1.2913993386661304,0.4963235294117647
17,1.3060515721638997,0.4930555555555556
18,1.317527871382864,0.49506578947368424
19,1.328731155395508,0.49375
20,1.3272322700137185,0.4895833333333333
21,1.3214271718805486,0.49573863636363635
22,1.3333388618800952,0.49728260869565216
23,1.337642987569173,0.4908854166666667
24,1.3451228332519531,0.4875
25,1.350505388700045,0.49158653846153844
26,1.3481446725350839,0.49421296296296297
27,1.335487229483468,0.4966517857142857
28,1.3334063825936153,0.4989224137931034
29,1.3382006327311198,0.49270833333333336
30,1.3231770915369834,0.4959677419354839
31,1.3230297565460205,0.49609375
32,1.3202892650257458,0.4943181818181818
33,1.320362876443302,0.49172794117647056
34,1.3077840532575336,0.4955357142857143
35,1.322276857164171,0.4939236111111111
36,1.3352063153241132,0.4907094594594595
37,1.326350864611174,0.49166666666666664
0,0.9136822819709778,0.4375
1,0.8343126773834229,0.5625
2,0.8948313395182291,0.53125
3,0.892923891544342,0.5234375
4,0.8987787246704102,0.5125
5,0.9274444580078125,0.5
6,0.9246219907488141,0.5133928571428571
7,0.9266126751899719,0.51171875
8,0.9525983598497179,0.5138888888888888
9,0.9684850692749023,0.5125
10,0.9658521305431019,0.5056818181818182
11,0.9778132438659668,0.5104166666666666
12,0.9859319100013146,0.5120192307692307
13,0.9717533929007394,0.5223214285714286
14,0.9797153472900391,0.51875
15,0.9869987368583679,0.513671875
16,0.9967865663416245,0.5073529411764706
17,0.9907142851087782,0.5104166666666666
18,0.9905571184660259,0.5082236842105263
19,0.990206241607666,0.5046875
20,0.9882591792515346,0.5029761904761905
21,0.9781594709916548,0.5085227272727273
22,0.9806410748025646,0.5122282608695652
23,0.973322868347168,0.515625
24,0.9785282135009765,0.51125
25,0.9823762453519381,0.5096153846153846
26,0.9841110088207103,0.5092592592592593
27,0.9845145089285714,0.5089285714285714
28,0.9868385051858837,0.5129310344827587
29,0.9906524658203125,0.5114583333333333
30,0.9870989399571573,0.5110887096774194
31,0.9891093373298645,0.5126953125
32,0.9885876973470052,0.5132575757575758
33,0.9890031253590303,0.5119485294117647
34,0.9910736083984375,0.5107142857142857
35,0.9972444110446506,0.5078125
36,1.0026752368823901,0.5067567567567568
37,1.007636823152241,0.5066666666666667
0,1.9833369255065918,0.34375
1,2.2233901023864746,0.34375
2,1.8909022013346355,0.4270833333333333
3,1.9407122135162354,0.3984375
4,1.8678787231445313,0.40625
5,1.8995132446289062,0.3958333333333333
6,1.8730401992797852,0.42410714285714285
7,1.9395310878753662,0.4140625
8,1.9215325249565973,0.40625
9,1.9446292877197267,0.396875
10,1.9467456124045632,0.39488636363636365
11,1.9479349454243977,0.3932291666666667
12,1.932539279644306,0.39663461538461536
13,1.895867211478097,0.4017857142857143
14,1.9013685862223306,0.4083333333333333
15,1.8908993005752563,0.40234375
16,1.9038112864774817,0.40441176470588236
17,1.914038552178277,0.3993055555555556
18,1.901692039088199,0.3963815789473684
19,1.9114784240722655,0.3984375
20,1.9052062261672247,0.39732142857142855
21,1.9168578061190518,0.4034090909090909
22,1.8690646627674932,0.41304347826086957
23,1.8887631098429363,0.4088541666666667
24,1.8945196533203126,0.4075
25,1.8822813767653246,0.41586538461538464
26,1.9065612510398582,0.4131944444444444
27,1.9111176899501257,0.4107142857142857
28,1.910236621725148,0.41163793103448276
29,1.9095617930094402,0.4125
30,1.9045237879599295,0.4163306451612903
31,1.921302080154419,0.4150390625
32,1.9280489141290837,0.4128787878787879
33,1.9248107461368336,0.41544117647058826
34,1.9184735979352678,0.4160714285714286
35,1.9018257988823786,0.4210069444444444
36,1.9027780068887246,0.4248310810810811
37,1.9053868745502673,0.4241666666666667
0,0.754795253276825,0.625
1,0.882047176361084,0.578125
2,0.8393054008483887,0.625
3,0.743478536605835,0.6875
4,0.7727833747863769,0.68125
5,0.7691593964894613,0.6822916666666666
6,0.7364147731236049,0.7008928571428571
7,0.7607914209365845,0.6953125
8,0.7337470584445529,0.7013888888888888
9,0.7291123390197753,0.7
10,0.7201163118535822,0.7130681818181818
11,0.7410000165303549,0.6953125
12,0.7584985586313101,0.6850961538461539
13,0.7624506269182477,0.6808035714285714
14,0.7666364034016927,0.68125
15,0.7676008939743042,0.677734375
16,0.776006305918974,0.6727941176470589
17,0.771547900305854,0.6736111111111112
18,0.7877089851780942,0.6611842105263158
19,0.7849316120147705,0.6609375
20,0.782416752406529,0.6592261904761905
21,0.7830728184093129,0.6619318181818182
22,0.7798375668733016,0.6603260869565217
23,0.7724568843841553,0.6627604166666666
24,0.770047378540039,0.66375
25,0.7781976553109976,0.6622596153846154
26,0.7773167645489728,0.6585648148148148
27,0.7726988792419434,0.6618303571428571
28,0.7695703835322939,0.6648706896551724
29,0.7643723169962565,0.6677083333333333
30,0.7596744414298765,0.6693548387096774
31,0.7585073709487915,0.666015625
32,0.7563808903549657,0.6647727272727273
33,0.7612603131462546,0.6663602941176471
34,0.7658126286097935,0.6616071428571428
35,0.765845775604248,0.6588541666666666
36,0.7627645956503378,0.6596283783783784
37,0.7588454296714381,0.6616666666666666
